id,data_format,cases,access,file_name,submitter_id,data_category,type,platform,file_size,created_datetime,md5sum,updated_datetime,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type
df6156a5-6f74-4dce-8f2e-8f98550c6b6c,MAF,"TCGA-97-7554-01A-11D-2036-08,TCGA-97-7554-10A-01D-2036-08",open,90ea3402-5438-48d7-8195-7207a5b4ab98.wxs.aliquot_ensemble_masked.maf.gz,a80aa2bd-665b-4049-9f36-babf4e5d5a62,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,149801,2022-08-01T16:44:49.165473-05:00,3f3cc9c255d2048f1f1c17628f7a270c,2024-07-31T06:31:32.540710-05:00,df6156a5-6f74-4dce-8f2e-8f98550c6b6c,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,f8e20f7b-12fb-4bb9-8cb1-1029f25dd39e,released,90ea3402-5438-48d7-8195-7207a5b4ab98,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
7fa9482e-04e2-4a9d-b245-ed37eb5d0ba1,MAF,"TCGA-50-5045-01A-01D-1625-08,TCGA-50-5045-10A-01D-1625-08",open,dfb7c0a5-0c5f-46e8-9f0c-f7c53330322b.wxs.aliquot_ensemble_masked.maf.gz,baebf568-fe8e-484e-83a6-c260ad0ca90b,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,93475,2022-08-01T16:48:24.498301-05:00,f09df6294353e6ec561590347584518c,2024-07-31T06:35:04.996998-05:00,7fa9482e-04e2-4a9d-b245-ed37eb5d0ba1,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,2e7f1d05-5ed4-4e8a-a3c1-b9cd7400f295,released,dfb7c0a5-0c5f-46e8-9f0c-f7c53330322b,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
ce45d80b-ae25-4619-9f31-81183ad14a79,MAF,"TCGA-50-6673-01A-11D-1945-08,TCGA-50-6673-11A-02D-1945-08",open,c981f20f-e70c-410b-b9a3-e731e1d14e84.wxs.aliquot_ensemble_masked.maf.gz,94338f09-14f0-403d-9f74-f190468a0fe1,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,23625,2022-08-01T16:40:02.092042-05:00,582308da9e8c8c77956a131016f86ef6,2024-07-31T06:27:21.487156-05:00,ce45d80b-ae25-4619-9f31-81183ad14a79,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,1cd4c945-5d56-4dc8-9902-a5d9db0ec47d,released,c981f20f-e70c-410b-b9a3-e731e1d14e84,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
46b86010-698f-4bdf-ad39-94668dadfffd,MAF,"TCGA-17-Z021-01A-01W-0746-08,TCGA-17-Z021-11A-01W-0746-08",open,d74b882c-ee9e-4f4d-bbcb-a1cd3e92c63b.wxs.aliquot_ensemble_masked.maf.gz,7e87a1e5-e078-4764-9db9-3cffe1adcc01,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,43993,2022-08-01T16:38:16.318641-05:00,9f3555e31d0c81e11b673a81a73ba7e3,2024-07-31T06:25:00.620672-05:00,46b86010-698f-4bdf-ad39-94668dadfffd,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,32832c25-99c3-404b-ba1f-bc0179c2053e,released,d74b882c-ee9e-4f4d-bbcb-a1cd3e92c63b,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
182b62f5-d632-41ed-ac95-e35492481e0f,MAF,"TCGA-17-Z001-01A-01W-0746-08,TCGA-17-Z001-11A-01W-0746-08",open,a4afb459-8fc1-4b3e-95fe-5dbf41009fff.wxs.aliquot_ensemble_masked.maf.gz,5572dfc1-ea3a-4401-be60-9887cd57ee00,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,67937,2022-08-01T16:41:33.771576-05:00,8ea13f003a06e238e483219b7f31086a,2024-07-31T06:34:04.107258-05:00,182b62f5-d632-41ed-ac95-e35492481e0f,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,b14f2ea3-c79f-4911-b581-b04e2c7aeda1,released,a4afb459-8fc1-4b3e-95fe-5dbf41009fff,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
4b20d50c-f569-4703-93ec-584c267e3fdf,MAF,"TCGA-L9-A743-01A-43D-A397-08,TCGA-L9-A743-10A-01D-A39A-08",open,0ef89e1c-653a-4be0-a6a3-b427f2dd2d00.wxs.aliquot_ensemble_masked.maf.gz,2fa4a244-be81-4108-8fb5-92e26f7d47d6,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,40923,2022-08-01T16:40:15.198939-05:00,77acb3d5dd96431fecb52984038bc01b,2024-07-31T06:25:23.995742-05:00,4b20d50c-f569-4703-93ec-584c267e3fdf,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,5aa4be45-500d-4878-a8b4-c115ef8e09f1,released,0ef89e1c-653a-4be0-a6a3-b427f2dd2d00,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
b7950351-3e23-423f-b59d-4a3a0d411fa9,MAF,"TCGA-55-8511-01A-11D-2393-08,TCGA-55-8511-10A-01D-2393-08",open,55899746-38e3-4a9c-87c2-dac4de6b693e.wxs.aliquot_ensemble_masked.maf.gz,7a5dbd97-0fe2-42c8-a041-aabca30b93a6,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,181446,2022-08-01T16:45:58.003186-05:00,a3cf421c328fe76f00ca5b345a58e832,2024-07-31T06:27:11.598292-05:00,b7950351-3e23-423f-b59d-4a3a0d411fa9,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,1d2abd9a-fd8d-438d-9ecb-1221c6b0cdb9,released,55899746-38e3-4a9c-87c2-dac4de6b693e,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
663280fe-02ec-4470-b033-3f45b7364c6a,MAF,"TCGA-44-6776-01A-11D-1855-08,TCGA-44-6776-10A-01D-1855-08",open,67691429-74f6-40fb-9c68-f408138b1dad.wxs.aliquot_ensemble_masked.maf.gz,f6a0a7a3-33ea-42ef-8fba-1355679fc516,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,67279,2022-08-01T16:39:22.007571-05:00,ff1caf77ee0c5ec47da54efda630ad93,2024-07-31T06:32:05.467277-05:00,663280fe-02ec-4470-b033-3f45b7364c6a,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,c0d0b927-a1f4-43de-9b77-e5517327f812,released,67691429-74f6-40fb-9c68-f408138b1dad,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
0344b01e-7430-4200-81cb-d48a3a8998ac,MAF,"TCGA-95-7947-01A-11D-2184-08,TCGA-95-7947-10A-01D-2184-08",open,5387a7a6-6882-476e-a57c-fffca53b11e2.wxs.aliquot_ensemble_masked.maf.gz,805ede7f-cc91-465f-b86a-8001ae3bd868,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,185535,2022-08-01T17:02:13.180043-05:00,b81f6c9af7f026883ada30db64ac3235,2024-07-31T06:34:32.207037-05:00,0344b01e-7430-4200-81cb-d48a3a8998ac,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,ed22eee2-ea51-41f3-a364-316580ec30f1,released,5387a7a6-6882-476e-a57c-fffca53b11e2,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
9f710d18-73e3-4576-8397-345d60eaa9e5,MAF,"TCGA-97-8172-01A-11D-2284-08,TCGA-97-8172-10A-01D-2284-08",open,ae3ab4b5-d0a4-473d-8e34-d4ca663cd27a.wxs.aliquot_ensemble_masked.maf.gz,e2c681eb-82b3-4b8d-9649-33fd30ef4a79,Simple Nucleotide Variation,masked_somatic_mutation,Illumina,85417,2022-08-01T17:00:46.190907-05:00,1d4d7554f3baeb31b12a98cd7515090a,2024-07-31T06:30:58.636306-05:00,9f710d18-73e3-4576-8397-345d60eaa9e5,Masked Somatic Mutation,released,WXS,2,35.0 - 46.0,TCGA-LUAD,21491319-3e4a-40ee-a451-832f31e12347,released,ae3ab4b5-d0a4-473d-8e34-d4ca663cd27a,https://github.com/NCI-GDC/aliquot-maf-cwl/blob/3dd621a8745ee2b91716911604bf3f096337a9b7/ensemble_aliquot_maf/ensemble_aliquot_maf_wf.cwl,Aliquot Ensemble Somatic Variant Merging and Masking,3dd621a8745ee2b91716911604bf3f096337a9b7,
