pathway,pathway_label,direction,size,enrichment_score,normalized_enrichment_score,p_value,adjusted_p_value
HALLMARK_GLYCOLYSIS,Glycolysis,Higher in G12C,196,0.17185333442900017,0.9263791090305407,0.7466666666666667,0.9039534200998142
HALLMARK_HEME_METABOLISM,Heme Metabolism,Lower in G12C,189,-0.20188441321313963,-0.8558941310047211,0.7871878393051032,0.9039534200998142
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Lower in G12C,198,-0.2013584488256091,-0.8586741668455736,0.7954790096878364,0.9039534200998142
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Lower in G12C,112,-0.21429367457601467,-0.8511036020950267,0.7609195402298851,0.9039534200998142
HALLMARK_ADIPOGENESIS,Adipogenesis,Higher in G12C,196,0.1470095380533019,0.7924580883653065,1,1
HALLMARK_MYC_TARGETS_V2,Myc Targets V2,Lower in G12C,58,-0.15067446356877337,-0.5360031535385026,0.9975124378109452,1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,Lower in G12C,200,-0.1686833592054859,-0.7199850711108015,0.9709677419354839,1
HALLMARK_PEROXISOME,Peroxisome,Lower in G12C,99,-0.18129195131297418,-0.7071686389007664,0.9417249417249417,1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Lower in G12C,104,-0.17976121284259475,-0.7061484927996089,0.9500580720092915,1
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Lower in G12C,96,-0.17513941618470424,-0.6801232252520061,0.9627039627039627,1
